MANDT,AGENCYNUM,NAME,STREET,POSTBOX,POSTCODE,CITY,COUNTRY,REGION,TELEPHONE,URL,LANGU,CURRENCY,LOC_4326,LNG,LAT
300,00000111,Ali's Bazar,45, Mac Arthur Boulevard,,19113,Boston,US,MA,+1 508-692-5200,http://www.ali.sap,E,USD,010100000083FCC79D2DC154C0C9AEB48CD43A4540,-83.0184092,42.4596115
300,00000124,Up 'n' Away,Nackenbergerstr. 92,,30625,Hannover,DE,03,+49 511 403266-0,http://www.una.sap,D,EUR,0101000000132BFE4A429D2340CC4AEE0B43304A40,9.807146399999999,52.3770461
300,00000112,Super Agency,50 Cranworth St,,G12 8AG,Glasgow,GB,,+44 141 711-5643,http://www.super.sap,E,GBP,0101000000D5DF12807F2A11C08764123F10F04B40,-4.291501999999999,55.8754958
300,00000310,Hendrik's,1200 Industrial Drive,,60153,Chicago,US,IL,+1 08-924-9884,http://www.essen.sap/150596,E,USD,010100000019051C9D4EE855C01F16C50666F04440,-87.6297982,41.8781136
300,00000113,Wang Chong,Gagarine Park,,150021,Moscow,RU,,+7 3287-213321,http://www.wang.chong.sap,E,USD,01010000008190D1A68FCA4240BC52E0AEA8DA4B40,37.5825089,55.7082728
300,00000114,Around the World,An der Breiten Wiese 122,,30625,Hannover,DE,03,+49 511-347589-0,http://www.atw.sap,D,EUR,0101000000ACDFF192A4A42340660E38013C304A40,9.8215681,52.37683120000001
300,00000115,No Return,Wahnheider Str. 57,,51105,Koeln,DE,05,+49 221-5689-100,http://www.bye-bye.sap,D,EUR,010100000015AA9B8BBF051C4004E78C28ED744940,7.0056135,50.9134875
300,00000116,Special Agency Peru,Triberger Str. 42,,70569,Stuttgart,DE,08,+49 711-7100,http://www.sap.com,D,EUR,0101000000396C1107BF4722407107454EBA5E4840,9.1401293,48.7400606
300,00000117,Caribian Dreams,Deichstrasse 45,,26721,Emden,DE,03,+49 2670-8560-0,http://www.cuba-libre.sap,D,EUR,01010000003A2CC36E8ED11C406030C912E7AE4A40,7.2046449,53.3664268
300,00000118,Asia By Plane,6-9 Iidabashi 7-chome,,102-0072,Tokyo,JP,,+81 3-3239-3501,http://www.asia-by-plane.co.jp,E,JPY,010100000030E76388ED77614087C7D9CFBDD94140,139.7477457,35.7011051
